project,section,metric,value,provenance,source,note
demo-volt,event,bug_discovered,1787430511.512,ESTIMATED,harness,FAILED ../../../../../../../../var/folders/z1/qnmb5zdn32s1lvgp5bk6q4m40000gn/T/fab-workspaces/demo-volt-41c78cf7a3/tests
demo-volt,event,coverage_reported,1787430511.512,OBSERVED,harness,coverage 95.83333333333333%
demo-volt,event,test_run,1787430514.499,OBSERVED,harness,"5 passed, 1 failed, 0 errors"
demo-volt,event,test_failed,1787430514.499,OBSERVED,harness,1 failed / 0 errors
demo-volt,event,bug_discovered,1787430514.499,ESTIMATED,harness,E       assert 0.0 is None
demo-volt,event,bug_discovered,1787430514.499,ESTIMATED,harness,E        +  where 0.0 = median([])
demo-volt,event,bug_discovered,1787430514.499,ESTIMATED,harness,FAILED ../../../../../../../../var/folders/z1/qnmb5zdn32s1lvgp5bk6q4m40000gn/T/fab-workspaces/demo-volt-41c78cf7a3/tests
demo-volt,event,coverage_reported,1787430514.499,OBSERVED,harness,coverage 95.83333333333333%
demo-volt,event,run_started,1787430516.519,OBSERVED,harness,smoke-run start
demo-volt,event,run_finished,1787430516.578,OBSERVED,harness,entrypoint smoke-run ok
demo-volt,event,agent_started,1755510000.0,OBSERVED,log_ingest,
demo-volt,event,tool_call,,OBSERVED,log_ingest,tool: bash
demo-volt,event,tool_call,,OBSERVED,log_ingest,pytest -q (collection error)
demo-volt,event,retry_attempted,1755510050.0,OBSERVED,log_ingest,retrying after fixing imports
demo-volt,event,tool_call,,OBSERVED,log_ingest,tool: bash
demo-volt,event,tool_call,,OBSERVED,log_ingest,pytest -q
demo-volt,event,tokens_reported,1755511000.0,OBSERVED,log_ingest,usage record
demo-volt,event,bug_discovered,1755511000.0,ESTIMATED,log_ingest,"Stats implemented; median edge case still failing, deferring."
demo-volt,event,test_failed,1755511100.0,OBSERVED,log_ingest,FAILED tests/test_median_edge.py - expected None
demo-volt,event,intervention_requested,1755511600.0,OBSERVED,log_ingest,clarify spec for empty-input median
demo-volt,event,commit_created,1755512000.0,OBSERVED,log_ingest,wip: column filter
demo-volt,event,task_completed,1755512500.0,OBSERVED,log_ingest,cli usable for basic mean reporting
demo-volt,failure_analysis,build_failures,0,OBSERVED,comparison,
demo-volt,failure_analysis,test_failures,3,OBSERVED,comparison,
demo-volt,failure_analysis,errors_observed,0,OBSERVED,comparison,
demo-volt,failure_analysis,failures_total,3,OBSERVED,comparison,
demo-volt,failure_analysis,recovered,1,OBSERVED,comparison,
demo-volt,failure_analysis,persisting,2,OBSERVED,comparison,
demo-volt,failure_analysis,recovery_rate,0.3333,OBSERVED,comparison,
demo-volt,failure_analysis,mean_time_to_recovery_s,31919410.29,OBSERVED,comparison,
fab-self,dimension,score.completion,80.56,OBSERVED,scoring-engine,coverage=100%
fab-self,component,completion.build_succeeds,100.0,OBSERVED,100 if build exit==0 else 0,exit code of build/compile phase
fab-self,component,completion.entrypoint_runs,100.0,OBSERVED,100 if entrypoint exit==0 else 0,entrypoint: python3 -m fab.cli --help
fab-self,component,completion.behavior_delivered,51.4,ESTIMATED,matched references / declared-or-public surface,public functions referenced by test files
fab-self,dimension,score.reliability,100.0,OBSERVED,scoring-engine,coverage=60%
fab-self,component,reliability.test_pass_rate,100.0,OBSERVED,passed / (passed+failed+errors),2 test run(s)
fab-self,component,reliability.stability_across_runs,100.0,OBSERVED,min(pass_rate)/max(pass_rate),2 repeated runs
fab-self,component,reliability.error_density,,OBSERVED,scoring-engine,no error/build-failure events observed
fab-self,component,reliability.recovery_after_failures,,OBSERVED,scoring-engine,no failure events to assess recovery from
fab-self,dimension,score.testing,99.63,OBSERVED,scoring-engine,coverage=75%
fab-self,component,testing.suite_scale,98.9,OBSERVED,"saturating(n_tests, cap=40)",82 tests executed
fab-self,component,testing.pass_rate,100.0,OBSERVED,passed / attempted,
fab-self,component,testing.line_coverage,,OBSERVED,scoring-engine,no machine-readable coverage report found
fab-self,component,testing.test_to_code_balance,100.0,OBSERVED,trapezoid band [0.12..0.8 ideal],ratio=0.228
fab-self,dimension,score.architecture,82.36,OBSERVED,scoring-engine,coverage=100%
fab-self,component,architecture.module_size_discipline,87.87,OBSERVED,0.6*(1-big-file share)+0.4*band(avg size),avg file 157 sloc; 2 file(s) >500
fab-self,component,architecture.coupling_control,100.0,OBSERVED,(100-12*cycles) * fanout-band-factor,0 circular cycle(s); avg fan-out 2.2
fab-self,component,architecture.layering_and_layout,100.0,OBSERVED,checklist 40+30+30,src/tests/config separated
fab-self,component,architecture.dependency_hygiene,70.0,OBSERVED,scoring-engine,manifest(s) present but no unpinned deps detected
fab-self,component,architecture.complexity_ceiling,5.0,OBSERVED,"penalty above 14, floor at 26",max cyclomatic complexity 39
fab-self,dimension,score.performance,88.0,OBSERVED,scoring-engine,coverage=100%
fab-self,component,performance.suite_wall_time,70.0,OBSERVED,threshold bands 2/10/30/120/600s,tests finished in 15.34s
fab-self,component,performance.memory_efficiency,100.0,OBSERVED,absolute MB band,peak RSS 80MB (absolute; project below 10kLOC)
fab-self,component,performance.startup_latency,100.0,OBSERVED,band on startup wall time,entrypoint responded in 0.22s
fab-self,dimension,score.documentation,67.67,OBSERVED,scoring-engine,coverage=100%
fab-self,component,documentation.readme_quality,90.0,OBSERVED,(35 + 11*sections) * word-band factor,"1006 words, 6/6 core sections"
fab-self,component,documentation.docstring_coverage,55.56,OBSERVED,scoring-engine,56% of public functions documented
fab-self,component,documentation.changelog_versioning,50.0,OBSERVED,scoring-engine,no changelog + version declared
fab-self,component,documentation.supporting_docs,60.0,OBSERVED,scoring-engine,"0 extra markdown file(s), docs/, CI"
fab-self,dimension,score.autonomy,,UNAVAILABLE,scoring-engine,no data backed this dimension
fab-self,component,autonomy.self_correction_ratio,,OBSERVED,scoring-engine,no bug lifecycle events observed
fab-self,component,autonomy.unattended_completion,,OBSERVED,scoring-engine,no task lifecycle events observed
fab-self,component,autonomy.retry_effectiveness,,OBSERVED,scoring-engine,no retry signals observed
fab-self,component,autonomy.tool_success_rate,,OBSERVED,scoring-engine,no tool-call records ingested
fab-self,dimension,score.maintainability,72.7,OBSERVED,scoring-engine,coverage=100%
fab-self,component,maintainability.avg_complexity,53.25,OBSERVED,band [ideal 2..5],avg cyclomatic complexity 6.87
fab-self,component,maintainability.low_duplication,99.26,ESTIMATED,1 - duplication fraction,0.7% duplicated SLOC (shingle estimate)
fab-self,component,maintainability.file_size_distribution,78.38,OBSERVED,scoring-engine,2/37 files exceed 500 sloc
fab-self,component,maintainability.todo_debt,100.0,OBSERVED,scoring-engine,8 TODO/FIXME (1.4/kLOC)
fab-self,component,maintainability.code_smell_count,12.37,ESTIMATED,decay of weighted smell count,"0 mutable-default args, 0 bare excepts, ~19 unused imports (est.)"
fab-self,overall,engineering_score,84.32,OBSERVED,scoring-engine,data coverage=78%
fab-self,metric,avg_complexity,6.87,OBSERVED,code,
fab-self,metric,branch,main,OBSERVED,git,
fab-self,metric,build.avg_cpu_pct,97.8,OBSERVED,procmon,
fab-self,metric,build.duration_s,0.136,OBSERVED,procmon,
fab-self,metric,build.exit_code,0,OBSERVED,procmon,
fab-self,metric,build.peak_rss_mb,22.25,OBSERVED,procmon,
fab-self,metric,build.timed_out,False,OBSERVED,procmon,
fab-self,metric,commit_first_time,2026-08-22T17:38:32Z,OBSERVED,git,
fab-self,metric,commit_last_time,2026-08-22T20:27:22Z,OBSERVED,git,
fab-self,metric,commits_total,13,OBSERVED,git,
fab-self,metric,coverage.percent,,UNAVAILABLE,harness,no machine-readable coverage report found
fab-self,metric,dirty_files,4,OBSERVED,git,
fab-self,metric,docstring_coverage,0.5556,OBSERVED,code,
fab-self,metric,duplication_ratio,0.0074,ESTIMATED,code,6-line shingle heuristic
fab-self,metric,files_total,37,OBSERVED,code,
fab-self,metric,head_sha,d98db25aced5eccd54473027ca88773cd1f888ae,OBSERVED,git,
fab-self,metric,max_complexity,39,OBSERVED,code,
fab-self,metric,sloc_test,1075,OBSERVED,code,
fab-self,metric,sloc_total,5800,OBSERVED,code,
fab-self,metric,smoke.avg_cpu_pct,88.7,OBSERVED,procmon,
fab-self,metric,smoke.duration_s,0.221,OBSERVED,procmon,
fab-self,metric,smoke.exit_code,0,OBSERVED,procmon,
fab-self,metric,smoke.peak_rss_mb,23.03,OBSERVED,procmon,
fab-self,metric,smoke.timed_out,False,OBSERVED,procmon,
fab-self,metric,test_to_code_ratio,0.2275,OBSERVED,code,
fab-self,metric,tests.avg_cpu_pct,34.17,OBSERVED,procmon,
fab-self,metric,tests.cpu_core_seconds,5.732,ESTIMATED,procmon,integral between samples
fab-self,metric,tests.duration_s,17.159,OBSERVED,procmon,
fab-self,metric,tests.errors,0,OBSERVED,harness,
fab-self,metric,tests.exit_code,0,OBSERVED,procmon,
fab-self,metric,tests.failed,0,OBSERVED,harness,
fab-self,metric,tests.passed,82,OBSERVED,harness,
fab-self,metric,tests.peak_rss_mb,76.02,OBSERVED,procmon,
fab-self,metric,tests.skipped,0,OBSERVED,harness,
fab-self,metric,tests.timed_out,False,OBSERVED,procmon,
fab-self,metric,todo_count,8,OBSERVED,code,
fab-self,event,build_succeeded,1787430521.159,OBSERVED,harness,build ok (0.1s)
fab-self,event,test_run,1787430536.502,OBSERVED,harness,"82 passed, 0 failed, 0 errors"
fab-self,event,test_passed,1787430536.502,OBSERVED,harness,82 passed
fab-self,event,coverage_reported,1787430536.502,OBSERVED,harness,coverage 82.68426842684268%
fab-self,event,test_run,1787430569.139,OBSERVED,harness,"82 passed, 0 failed, 0 errors"
fab-self,event,test_passed,1787430569.139,OBSERVED,harness,82 passed
fab-self,event,coverage_reported,1787430569.139,OBSERVED,harness,coverage 82.68426842684268%
fab-self,event,run_started,1787430589.602,OBSERVED,harness,smoke-run start
fab-self,event,run_finished,1787430589.823,OBSERVED,harness,entrypoint smoke-run ok
fab-self,failure_analysis,build_failures,0,OBSERVED,comparison,
fab-self,failure_analysis,test_failures,0,OBSERVED,comparison,
fab-self,failure_analysis,errors_observed,0,OBSERVED,comparison,
fab-self,failure_analysis,failures_total,0,OBSERVED,comparison,
fab-self,failure_analysis,recovered,0,OBSERVED,comparison,
fab-self,failure_analysis,persisting,0,OBSERVED,comparison,
fab-self,failure_analysis,recovery_rate,,OBSERVED,comparison,
fab-self,failure_analysis,mean_time_to_recovery_s,,OBSERVED,comparison,
